L1_algorithm,L2_algorithm,wr_pol,cost,latency,workload,tot_req,reads,writes,requests
arc,arc,wb-et,0.698036864,0.809699671,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,1.708285336,0.619599916,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,2.718533809,0.601384362,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,3.728782282,0.593693829,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,4.739030754,0.57655171,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,5.749446155,0.585433154,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,6.759694628,0.565556137,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,7.7699431,0.558694853,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,8.780191573,0.548972782,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,9.790606973,0.539678385,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,10.92349606,0.679149409,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,11.93357761,0.6757154,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,12.94365915,0.664687163,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,13.9537407,0.654728034,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,14.96382224,0.647919444,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,15.97407071,0.626853674,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,16.98415226,0.616987523,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,17.9942338,0.613618574,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,19.00431535,0.603243461,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,20.01456382,0.593186415,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,0.386454914,0.861744501,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,0.944495337,0.560746071,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,1.502535761,0.420772038,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,2.060743113,0.307463873,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,2.618783536,0.201701503,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,3.176990888,0.146542832,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,3.735031312,0.106886156,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,4.293238663,0.082776805,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,4.851279087,0.072767479,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,5.409486439,0.066681604,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,6.034787714,0.686370578,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,6.592828137,0.61806027,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,7.150868561,0.485463218,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,7.709075913,0.362903509,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,8.267116336,0.242051461,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,8.825323688,0.171174059,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,9.383364112,0.120039598,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,9.941571463,0.088874236,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,10.49961189,0.075259638,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,11.05781924,0.067182523,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,21.14895526,0.667411307,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,22.15886988,0.663733351,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,23.16895142,0.662453592,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,24.17903297,0.640439416,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,25.18894759,0.637423532,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,26.19902913,0.624217023,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,27.20911068,0.618221557,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,28.21902529,0.604021595,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,29.22910684,0.609338081,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,30.23918838,0.5990856,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,31.37441446,0.661429376,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,32.38432908,0.657462948,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,33.3942437,0.65699849,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,34.40432524,0.654855893,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,35.41423986,0.632513136,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,36.42415447,0.627021725,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,37.43423602,0.619986925,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,38.44415064,0.606242763,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,39.45406525,0.595248174,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,40.4641468,0.601349716,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,41.59987366,0.64829054,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,42.60962135,0.644976377,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,43.61953597,0.642951844,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,44.62945059,0.638896649,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,45.63919827,0.634948606,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,46.64911289,0.621548971,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,47.65902751,0.614424668,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,48.6687752,0.611595496,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,49.67868981,0.600530755,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,50.68860443,0.58800683,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,51.82702246,0.653608432,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,52.83677015,0.650764881,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,53.84668477,0.648553985,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,54.85659939,0.642519844,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,55.866514,0.644400396,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,56.87626169,0.636374589,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,57.88617631,0.613850378,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,58.89609092,0.60923668,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,59.90600554,0.597298058,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,60.91592016,0.602405697,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,62.05248166,0.638281165,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,63.06239628,0.634391269,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,64.0723109,0.629675364,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,65.08222551,0.631570272,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,66.09214013,0.629402729,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,67.10222167,0.619592828,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,68.11213629,0.619630872,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,69.12205091,0.600917497,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,70.13196552,0.587081036,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,71.14204707,0.590195128,w101,238962,2.86,97.14,24.64
