L1_size,L2_size,L3_size,L1_device,L2_device,L3_device,L1_device_read_latency_(ms),L2_device_read_latency_(ms),L3_device_read_latency_(ms),L1_device_write_latency_(ms),L2_device_write_latency_(ms),L3_device_write_latency_(ms),L1_device_capacity_(GB),L2_device_capacity_(GB),L3_device_capacity_(GB),L1_device_purchase_cost_($),L2_device_purchase_cost_($),L3_device_purchase_cost_($),L1_algorithm,L2_algorithm,write_policy,total_read_latency_(ms),total_write_latency_(ms),total_purchase_cost_($),avg_latency_(ms),avg_throughput_(KB/s),workload,read_requests,write_requests,total_requests,unique_reads,unique_writes,unique_requests,percent_reads,percent_writes,percent_unique_reads,percent_unique_writes,percent_unique_requests,compound miss ratio
3440300,2580200,5447100,D1,S1,S2,1.3800000000000002e-05,0.6629999999999999,0.675,1.3800000000000002e-05,7.935,6.814,16000000000,4000000000000,4000000000000,105.0,451.58,498.26,lru,lru,wb-s,0.4529325765256842,4.2857459658190065,96.447604492288,4.176148565859844,980.808018537688,w101,6833,232129,238962,4609,54266,58875,2.86,97.14,67.45,23.38,24.64,0.5246608247336396
1324300,1480100,1480100,D2,H1,H2,1.4099999999999999e-05,7.64,2.8569999999999998,1.4099999999999999e-05,4.28,12.243,16000000000,10000000000000,1000000000000,88.97,334.76,72.99,lru,arc,wb-s,1.136323507048127,0.3825191166157984,30.8081295937536,0.6720180130997673,6095.074715492649,w71,111746,179221,290967,13387,3336,16723,38.41,61.59,11.98,1.86,5.75,0.0508683115267367
472600,531600,1122300,D3,H1,S1,1.4300000000000002e-05,7.64,0.6629999999999999,1.4300000000000002e-05,4.28,7.935,16000000000,10000000000000,4000000000000,77.87,334.76,451.58,arc,lru,wb-s,5.689589388094388,0.7258979781763939,10.013012070809602,1.5193961739325543,2695.807762499881,w41,25257,132737,157994,4381,8800,13181,15.99,84.01,17.35,6.63,8.34,0.1109662392242743
1413800,892900,1413800,D3,H1,H2,1.4300000000000002e-05,7.64,2.8569999999999998,1.4300000000000002e-05,4.28,12.243,16000000000,10000000000000,1000000000000,77.87,334.76,72.99,arc,lru,wb-s,0.791339255704491,0.7885211988532859,28.7288191279104,0.790409155018429,5182.126211461326,w52,155772,76741,232513,12940,3187,16127,66.99,33.01,8.31,4.15,6.94,0.0608052022897644
589500,884200,5599600,D1,H1,S1,1.3800000000000002e-05,7.64,0.6629999999999999,1.3800000000000002e-05,4.28,7.935,16000000000,10000000000000,4000000000000,105.0,334.76,451.58,lru,arc,wb-s,8.142022747344422,158.62102083850968,18.5563548516352,12.058244408884732,339.6846059101268,w85,394754,10548,405302,55772,1503,57275,97.4,2.6,14.13,14.25,14.13,0.9643697785848576
150400,376000,1428600,D2,H1,S3,1.4099999999999999e-05,7.64,0.39399999999999996,1.4099999999999999e-05,4.28,7.1,16000000000,10000000000000,1000000000000,88.97,334.76,119.99,arc,lru,wb-s,2.9237259526569837,2.7018438640208298,4.17924173824,2.8509464939554623,1436.7158446096,w73,116843,57033,173876,14050,3281,17331,67.2,32.8,12.02,5.75,9.97,0.1624951114587407
1497800,100,9485600,D2,S3,H2,1.4099999999999999e-05,0.39399999999999996,2.8569999999999998,1.4099999999999999e-05,7.1,12.243,16000000000,1000000000000,1000000000000,88.97,119.99,72.99,lru,arc,wb-s,1.6148372041971202,31.576285324992533,36.950302998528,4.701858203449387,871.1449437150369,w62,262013,30097,292110,93322,3852,97174,89.7,10.3,35.62,12.8,33.27,0.4582246414022115
58036000,53200000,91891000,D2,H1,S1,1.4099999999999999e-05,7.64,0.6629999999999999,1.4099999999999999e-05,4.28,7.935,16000000000,10000000000000,4000000000000,88.97,334.76,451.58,lru,arc,wb-s,6.9898611509644555,42.65061390256934,1371.63321403392,9.823033533764935,416.97913235465666,w64,107781,9302,117083,90743,1377,92120,92.06,7.94,84.19,14.8,78.68,0.7917033215752928
804300,4021500,5093900,D2,H1,S3,1.4099999999999999e-05,7.64,0.39399999999999996,1.4099999999999999e-05,4.28,7.1,16000000000,10000000000000,1000000000000,88.97,334.76,119.99,arc,lru,wb-s,2.1638280059304704,2.7103147689139218,21.37395807232,2.6945126419165732,1520.1264734414335,w100,6846,229910,236756,4444,50707,55151,2.89,97.11,64.91,22.06,23.29,0.351268816840967
306000,1987000,2905000,D3,H1,S1,1.4300000000000002e-05,7.64,0.6629999999999999,1.4300000000000002e-05,4.28,7.935,16000000000,10000000000000,4000000000000,77.87,334.76,451.58,lru,arc,wb-s,5.479957625627079,4.773431305847807,7.7158012395519995,5.461686860056193,749.9514536353073,w19,448986,11919,460905,2653,1030,3683,97.41,2.59,0.59,8.64,0.8,0.0172682006053308
