,bill_length_mm,bill_depth_mm,correlation,variance,skewness,neigh,split_up,fan
0,39.1,18.7,True,True,True,False,False,False
1,39.5,17.4,False,True,True,False,False,False
2,40.3,18.0,False,True,True,False,False,False
4,36.7,19.3,True,False,True,True,False,False
5,39.3,20.6,False,False,False,False,False,False
6,38.9,17.8,False,True,True,False,False,False
7,39.2,19.6,False,False,False,False,False,False
12,41.1,17.6,True,False,True,True,False,False
13,38.6,21.2,False,False,False,False,False,False
14,34.6,21.1,False,False,False,False,False,False
15,36.6,17.8,True,True,True,True,False,False
16,38.7,19.0,True,True,True,False,False,False
17,42.5,20.7,False,False,False,False,False,False
18,34.4,18.4,False,False,False,True,True,False
19,46.0,21.5,False,False,False,False,False,False
20,37.8,18.3,False,True,False,False,False,False
21,37.7,18.7,False,True,True,False,False,False
22,35.9,19.2,False,False,False,False,False,False
23,38.2,18.1,True,True,True,True,False,False
24,38.8,17.2,False,False,False,True,False,False
25,35.3,18.9,False,False,False,False,False,False
26,40.6,18.6,True,False,False,False,True,False
27,40.5,17.9,False,True,True,False,False,False
28,37.9,18.6,False,True,True,False,False,False
29,40.5,18.9,True,False,False,False,True,False
30,39.5,16.7,False,False,False,True,False,False
31,37.2,18.1,False,True,False,False,False,False
32,39.5,17.8,False,True,True,False,False,False
33,40.9,18.9,True,False,False,False,True,False
34,36.4,17.0,True,False,True,True,False,False
35,39.2,21.1,False,False,False,False,False,False
36,38.8,20.0,False,False,False,False,False,False
37,42.2,18.5,False,False,False,True,False,False
38,37.6,19.3,True,False,True,True,False,False
39,39.8,19.1,False,False,False,False,False,False
40,36.5,18.0,False,True,False,False,False,False
41,40.8,18.4,False,True,True,False,False,False
42,36.0,18.5,False,False,False,True,True,False
43,44.1,19.7,False,False,False,False,False,False
44,37.0,16.9,True,False,True,True,False,False
45,39.6,18.8,True,True,True,False,False,False
46,41.1,19.0,True,False,False,False,True,False
48,36.0,17.9,False,False,False,True,True,False
49,42.3,21.2,False,False,False,False,False,False
50,39.6,17.7,False,True,True,False,False,False
51,40.1,18.9,True,False,False,False,True,False
52,35.0,17.9,False,False,False,True,True,False
53,42.0,19.5,True,False,True,False,False,False
54,34.5,18.1,False,False,False,True,True,False
55,41.4,18.6,True,False,False,False,True,False
56,39.0,17.5,False,True,True,False,False,False
57,40.6,18.8,True,False,False,False,True,False
58,36.5,16.6,True,True,True,False,False,False
59,37.6,19.1,True,False,True,True,False,False
60,35.7,16.9,True,False,True,True,False,False
61,41.3,21.1,False,False,False,False,False,False
62,37.6,17.0,True,False,True,True,False,False
63,41.1,18.2,False,True,True,False,False,False
64,36.4,17.1,True,False,True,True,False,False
65,41.6,18.0,False,True,True,False,False,False
66,35.5,16.2,False,False,False,False,False,False
67,41.1,19.1,True,False,False,False,True,False
68,35.9,16.6,False,False,False,False,False,False
69,41.8,19.4,False,False,False,False,False,False
70,33.5,19.0,False,False,False,False,False,False
71,39.7,18.4,True,True,True,True,False,False
72,39.6,17.2,False,False,False,True,False,False
73,45.8,18.9,False,False,False,False,False,False
74,35.5,17.5,False,False,False,True,True,False
75,42.8,18.5,False,False,False,True,False,False
76,40.9,16.8,True,False,False,True,False,False
77,37.2,19.4,True,False,True,True,False,False
78,36.2,16.1,True,True,True,False,False,False
79,42.1,19.1,True,False,True,False,False,False
80,34.6,17.2,True,False,True,True,False,False
81,42.9,17.6,True,True,True,True,False,False
82,36.7,18.8,False,True,True,False,False,False
83,35.1,19.4,False,False,False,False,False,False
84,37.3,17.8,True,True,True,True,False,False
85,41.3,20.3,False,False,False,False,False,False
86,36.3,19.5,True,False,True,True,False,False
87,36.9,18.6,False,True,True,False,False,False
88,38.3,19.2,False,False,False,False,False,False
89,38.9,18.8,True,True,True,False,False,False
90,35.7,18.0,False,False,False,True,True,False
91,41.1,18.1,False,True,True,False,False,False
92,34.0,17.1,False,False,False,False,False,False
93,39.6,18.1,True,True,True,True,False,False
94,36.2,17.3,True,True,True,True,False,False
95,40.8,18.9,True,False,False,False,True,False
96,38.1,18.6,True,True,True,False,False,False
97,40.3,18.5,True,False,False,False,True,False
98,33.1,16.1,False,False,False,False,False,False
99,43.2,18.5,False,False,False,True,False,False
100,35.0,17.9,False,False,False,True,True,False
101,41.0,20.0,False,False,False,False,False,False
102,37.7,16.0,False,False,False,False,False,False
103,37.8,20.0,False,False,False,False,False,False
104,37.9,18.6,False,True,True,False,False,False
105,39.7,18.9,True,True,True,False,False,False
106,38.6,17.2,False,False,False,True,False,False
107,38.2,20.0,False,False,False,False,False,False
108,38.1,17.0,False,False,False,True,False,False
109,43.2,19.0,False,False,False,True,False,False
110,38.1,16.5,False,False,False,False,False,False
111,45.6,20.3,False,False,False,False,False,False
112,39.7,17.7,False,True,True,False,False,False
113,42.2,19.5,True,False,True,False,False,False
114,39.6,20.7,False,False,False,False,False,False
115,42.7,18.3,True,False,False,False,False,False
116,38.6,17.0,False,False,False,True,False,False
117,37.3,20.5,False,False,False,False,False,False
118,35.7,17.0,True,False,True,True,False,False
119,41.1,18.6,True,False,False,False,True,False
120,36.2,17.2,True,False,True,True,False,False
121,37.7,19.8,False,False,False,False,False,False
122,40.2,17.0,True,False,False,True,False,False
123,41.4,18.5,True,False,False,False,True,False
124,35.2,15.9,False,False,False,False,False,False
125,40.6,19.0,True,False,False,False,True,False
126,38.8,17.6,False,True,True,False,False,False
127,41.5,18.3,False,True,True,False,False,False
128,39.0,17.1,False,False,False,True,False,False
129,44.1,18.0,False,False,False,False,False,False
130,38.5,17.9,True,True,True,True,False,False
131,43.1,19.2,True,False,True,False,False,False
132,36.8,18.5,False,True,True,False,False,False
133,37.5,18.5,False,True,True,False,False,False
134,38.1,17.6,False,True,True,False,False,False
135,41.1,17.5,True,False,True,True,False,False
136,35.6,17.5,False,False,False,True,True,False
137,40.2,20.1,False,False,False,False,False,False
138,37.0,16.5,True,True,True,False,False,False
139,39.7,17.9,True,True,True,True,False,False
140,40.2,17.1,True,False,False,True,False,False
141,40.6,17.2,True,False,False,True,False,False
142,32.1,15.5,False,False,False,False,False,False
143,40.7,17.0,True,False,False,True,False,False
144,37.3,16.8,True,False,True,True,False,False
145,39.0,18.7,True,True,True,False,False,False
146,39.2,18.6,True,True,True,False,False,False
147,36.6,18.4,False,True,False,False,False,False
148,36.0,17.8,False,False,False,True,True,False
149,37.8,18.1,False,True,False,False,False,False
150,36.0,17.1,True,False,True,True,False,False
151,41.5,18.5,True,False,False,False,True,False
152,46.5,17.9,True,True,True,False,False,False
153,50.0,19.5,True,False,False,True,False,False
154,51.3,19.2,True,False,False,True,False,False
155,45.4,18.7,False,False,False,False,False,False
156,52.7,19.8,False,True,True,False,False,False
157,45.2,17.8,False,True,True,False,False,False
158,46.1,18.2,True,True,True,False,False,False
159,51.3,18.2,False,True,False,True,False,False
160,46.0,18.9,False,False,False,False,False,False
161,51.3,19.9,False,False,False,True,False,False
162,46.6,17.8,True,False,True,True,False,False
163,51.7,20.3,False,False,False,False,False,False
164,47.0,17.3,True,False,True,True,False,False
165,52.0,18.1,False,False,False,False,False,False
166,45.9,17.1,True,False,True,True,False,False
167,50.5,19.6,True,False,False,True,False,False
168,50.3,20.0,False,False,False,True,False,False
169,58.0,17.8,False,False,False,False,False,False
170,46.4,18.6,False,False,False,False,False,False
171,49.2,18.2,False,False,False,False,False,False
172,42.4,17.3,True,True,True,True,False,False
173,48.5,17.5,False,False,False,False,False,False
174,43.2,16.6,False,False,False,False,False,False
175,50.6,19.4,True,False,False,True,False,False
176,46.7,17.9,True,True,True,False,False,False
177,52.0,19.0,False,False,False,False,False,False
178,50.5,18.4,False,True,False,True,False,False
179,49.5,19.0,False,False,False,False,False,False
180,46.4,17.8,True,False,True,True,False,False
181,52.8,20.0,False,True,True,False,False,False
182,40.9,16.6,False,False,False,False,False,False
183,54.2,20.8,False,False,False,False,False,False
184,42.5,16.7,True,False,True,True,False,False
185,51.0,18.8,False,True,False,False,False,False
186,49.7,18.6,False,False,False,False,False,False
187,47.5,16.8,True,False,True,True,False,False
188,47.6,18.3,True,True,True,False,False,False
189,52.0,20.7,False,False,False,False,False,False
190,46.9,16.6,True,True,True,True,False,False
191,53.5,19.9,False,True,True,False,False,False
192,49.0,19.5,False,False,False,False,False,False
193,46.2,17.5,True,False,True,True,False,False
