bill_length_mm,bill_depth_mm,correlation,variance,skewness,neigh,split_up,fan
39.1,18.7,true,true,true,false,false,false
39.5,17.4,false,true,true,false,false,false
40.3,18,false,true,true,false,false,false
36.7,19.3,true,false,true,true,false,false
39.3,20.6,false,false,false,false,false,false
38.9,17.8,false,true,true,false,false,false
39.2,19.6,false,false,false,false,false,false
41.1,17.6,true,false,true,true,false,false
38.6,21.2,false,false,false,false,false,false
34.6,21.1,false,false,false,false,false,false
36.6,17.8,true,true,true,true,false,false
38.7,19,true,true,true,false,false,false
42.5,20.7,false,false,false,false,false,false
34.4,18.4,false,false,false,true,true,false
46,21.5,false,false,false,false,false,false
37.8,18.3,false,true,false,false,false,false
37.7,18.7,false,true,true,false,false,false
35.9,19.2,false,false,false,false,false,false
38.2,18.1,true,true,true,true,false,false
38.8,17.2,false,false,false,true,false,false
35.3,18.9,false,false,false,false,false,false
40.6,18.6,true,false,false,false,true,false
40.5,17.9,false,true,true,false,false,false
37.9,18.6,false,true,true,false,false,false
40.5,18.9,true,false,false,false,true,false
39.5,16.7,false,false,false,true,false,false
37.2,18.1,false,true,false,false,false,false
39.5,17.8,false,true,true,false,false,false
40.9,18.9,true,false,false,false,true,false
36.4,17,true,false,true,true,false,false
39.2,21.1,false,false,false,false,false,false
38.8,20,false,false,false,false,false,false
42.2,18.5,false,false,false,true,false,false
37.6,19.3,true,false,true,true,false,false
39.8,19.1,false,false,false,false,false,false
36.5,18,false,true,false,false,false,false
40.8,18.4,false,true,true,false,false,false
36,18.5,false,false,false,true,true,false
44.1,19.7,false,false,false,false,false,false
37,16.9,true,false,true,true,false,false
39.6,18.8,true,true,true,false,false,false
41.1,19,true,false,false,false,true,false
36,17.9,false,false,false,true,true,false
42.3,21.2,false,false,false,false,false,false
39.6,17.7,false,true,true,false,false,false
40.1,18.9,true,false,false,false,true,false
35,17.9,false,false,false,true,true,false
42,19.5,true,false,true,false,false,false
34.5,18.1,false,false,false,true,true,false
41.4,18.6,true,false,false,false,true,false
39,17.5,false,true,true,false,false,false
40.6,18.8,true,false,false,false,true,false
36.5,16.6,true,true,true,false,false,false
37.6,19.1,true,false,true,true,false,false
35.7,16.9,true,false,true,true,false,false
41.3,21.1,false,false,false,false,false,false
37.6,17,true,false,true,true,false,false
41.1,18.2,false,true,true,false,false,false
36.4,17.1,true,false,true,true,false,false
41.6,18,false,true,true,false,false,false
35.5,16.2,false,false,false,false,false,false
41.1,19.1,true,false,false,false,true,false
35.9,16.6,false,false,false,false,false,false
41.8,19.4,false,false,false,false,false,false
33.5,19,false,false,false,false,false,false
39.7,18.4,true,true,true,true,false,false
39.6,17.2,false,false,false,true,false,false
45.8,18.9,false,false,false,false,false,false
35.5,17.5,false,false,false,true,true,false
42.8,18.5,false,false,false,true,false,false
40.9,16.8,true,false,false,true,false,false
37.2,19.4,true,false,true,true,false,false
36.2,16.1,true,true,true,false,false,false
42.1,19.1,true,false,true,false,false,false
34.6,17.2,true,false,true,true,false,false
42.9,17.6,true,true,true,true,false,false
36.7,18.8,false,true,true,false,false,false
35.1,19.4,false,false,false,false,false,false
37.3,17.8,true,true,true,true,false,false
41.3,20.3,false,false,false,false,false,false
36.3,19.5,true,false,true,true,false,false
36.9,18.6,false,true,true,false,false,false
38.3,19.2,false,false,false,false,false,false
38.9,18.8,true,true,true,false,false,false
35.7,18,false,false,false,true,true,false
41.1,18.1,false,true,true,false,false,false
34,17.1,false,false,false,false,false,false
39.6,18.1,true,true,true,true,false,false
36.2,17.3,true,true,true,true,false,false
40.8,18.9,true,false,false,false,true,false
38.1,18.6,true,true,true,false,false,false
40.3,18.5,true,false,false,false,true,false
33.1,16.1,false,false,false,false,false,false
43.2,18.5,false,false,false,true,false,false
35,17.9,false,false,false,true,true,false
41,20,false,false,false,false,false,false
37.7,16,false,false,false,false,false,false
37.8,20,false,false,false,false,false,false
37.9,18.6,false,true,true,false,false,false
39.7,18.9,true,true,true,false,false,false
38.6,17.2,false,false,false,true,false,false
38.2,20,false,false,false,false,false,false
38.1,17,false,false,false,true,false,false
43.2,19,false,false,false,true,false,false
38.1,16.5,false,false,false,false,false,false
45.6,20.3,false,false,false,false,false,false
39.7,17.7,false,true,true,false,false,false
42.2,19.5,true,false,true,false,false,false
39.6,20.7,false,false,false,false,false,false
42.7,18.3,true,false,false,false,false,false
38.6,17,false,false,false,true,false,false
37.3,20.5,false,false,false,false,false,false
35.7,17,true,false,true,true,false,false
41.1,18.6,true,false,false,false,true,false
36.2,17.2,true,false,true,true,false,false
37.7,19.8,false,false,false,false,false,false
40.2,17,true,false,false,true,false,false
41.4,18.5,true,false,false,false,true,false
35.2,15.9,false,false,false,false,false,false
40.6,19,true,false,false,false,true,false
